creationDate,startDate,endDate
2019-02-06 08:55:57 -0500,2019-02-06 03:10:18 -0500,2019-02-06 08:55:52 -0500
2019-02-07 10:00:12 -0500,2019-02-07 02:42:35 -0500,2019-02-07 10:00:06 -0500
2019-02-08 09:11:31 -0500,2019-02-08 02:05:00 -0500,2019-02-08 09:11:31 -0500
2019-02-11 07:50:16 -0500,2019-02-11 04:43:10 -0500,2019-02-11 07:50:11 -0500
2019-02-12 09:46:02 -0500,2019-02-12 01:23:55 -0500,2019-02-12 09:45:57 -0500
2019-02-13 08:56:44 -0500,2019-02-13 01:33:24 -0500,2019-02-13 08:56:39 -0500
2019-02-14 10:00:07 -0500,2019-02-14 02:35:00 -0500,2019-02-14 10:00:07 -0500
2019-02-15 10:00:03 -0500,2019-02-15 02:35:00 -0500,2019-02-15 10:00:03 -0500
2019-02-18 07:52:39 -0500,2019-02-18 02:49:09 -0500,2019-02-18 07:52:33 -0500
2019-02-19 09:57:25 -0500,2019-02-19 02:35:00 -0500,2019-02-19 09:57:25 -0500
2019-02-20 09:01:14 -0500,2019-02-20 02:35:00 -0500,2019-02-20 09:01:14 -0500
2019-02-21 09:15:11 -0500,2019-02-21 08:11:43 -0500,2019-02-21 09:15:06 -0500
2019-02-22 08:30:36 -0500,2019-02-22 02:35:00 -0500,2019-02-22 08:30:36 -0500
2019-02-25 07:55:52 -0500,2019-02-25 02:15:00 -0500,2019-02-25 07:55:52 -0500
2019-02-26 09:45:24 -0500,2019-02-26 03:03:24 -0500,2019-02-26 09:45:19 -0500
2019-02-27 09:15:01 -0500,2019-02-27 02:15:00 -0500,2019-02-27 09:15:01 -0500
2019-02-28 09:09:45 -0500,2019-02-28 02:15:00 -0500,2019-02-28 09:09:45 -0500
2019-03-01 08:58:50 -0500,2019-03-01 02:41:51 -0500,2019-03-01 08:58:45 -0500
2019-03-04 08:57:18 -0500,2019-03-04 03:35:25 -0500,2019-03-04 08:57:12 -0500
2019-03-05 09:50:05 -0500,2019-03-05 03:54:04 -0500,2019-03-05 09:50:00 -0500
